央    视,#genre#
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8$8M#http://39.134.115.163:8080/PLTV/88888888/224/3221225642/index.m3u8$8M#http://39.135.139.214:6610/PLTV/88888888/224/3221225642/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225620/index.m3u8
CCTV-4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225622/index.m3u8
CCTV-6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV-7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8
CCTV-9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225636/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8$2.5M
CCTV-12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226286/index.m3u8$5M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8$4M
CCTV-14,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225640/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8$3.5M
CCTV-16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226233/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV-17,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225909/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225649/index.m3u8
CGTN-E,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225747/index.m3u8
CGTN纪录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225645/index.m3u8
CETV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225661/index.m3u8
CETV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226242/index.m3u8
CETV3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225937/index.m3u8
江    西,#genre#
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8$4M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225746/index.m3u8
江西都市,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8?fmt=ts2hls
江西经济,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226206/10000100000000060000000005219195_0.smil/index.m3u8?fmt=ts2hls
江西影视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225579/10000100000000060000000000000029_0.smil/index.m3u8?fmt=ts2hls
江西公共,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225578/10000100000000060000000000000030_0.smil/index.m3u8?fmt=ts2hls
江西少儿,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/10000100000000060000000004716224_0.smil/index.m3u8?fmt=ts2hls
江西新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/10000100000000060000000000230385_0.smil/index.m3u8?fmt=ts2hls
